Id,Name,Type,Industry,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,Description,CreatedDate,NumberOfEmployees,AnnualRevenue,ParentId
001PygtS3FHgKj8Q8G,Curtis Michael Dunn,Prospect,Financial Services,89861 Young Crossing,Summit Glen,MA,58994,United States,'+1-303-555-0176,https://brindlewave-westwind-global-logistics.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2021-03-30T02:10:59Z,280,52320866.68,
001aPvgDsUU73EoIG0,Kevin Richard Young,Former Customer,Media,1888 Peter Mountains,Willow Harbor,TX,85961,United States,'+1-202-555-0141,https://avenlo-brightwater-eastern-works.example.invalid,Cold,Regional organization evaluating operational improvements.,2025-06-13T00:45:30Z,24,9587256.56,
001FvdsL8UlrHiPQB9,Cheryl Jerry White,Partner,Business Services,0430 Nina Island,Cedar Crossing,CA,45715,United States,'+1-713-555-0184,https://rivermark-clearpath-western-collective.example.invalid,Hot,Regional organization evaluating operational improvements.,2023-08-10T08:59:14Z,1500,384087420.9,
0010jBSxx9cNJfJI6H,Quarrylight Evergreen Regional Partners,Former Customer,Technology,284 Garcia Islands,Lake Briar,CA,13108,United States,'+1-971-555-0198,https://quarrylight-evergreen-regional-partners.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2024-07-05T20:15:58Z,1500,148103196.97,
001avRKkn0zGBkGQ4J,Karen Michael Taylor,Partner,Energy,55690 Erika Land,Summit Glen,NC,13698,United States,'+1-617-555-0158,https://peregrine-hollow-goldenleaf-lakeside-analytics.example.invalid,Warm,Regional organization evaluating operational improvements.,2025-12-26T00:41:58Z,24,3749882.85,
001oTVBgpJb5kxRYJO,Joshua Becky Young,Former Customer,Energy,3121 Thompson Station,Summit Glen,MA,31407,United States,'+1-971-555-0127,https://oakmere-ironwood-eastern-logistics.example.invalid,Warm,Established organization focused on service reliability.,2026-04-21T03:13:33Z,900,227519548.67,
001z1doamdywpaZI4C,Brittney Dakota Franklin,Former Customer,Transportation,7829 Cameron Locks,Summit Glen,MA,98131,United States,'+1-617-555-0192,https://novacairn-keystone-western-systems.example.invalid,Hot,Regional organization evaluating operational improvements.,2025-02-06T06:59:21Z,12,2063403.87,
001cgzJWlSIy1t0I9S,Morrowfen Moonridge Regional Collective,Former Customer,Education,3584 John Roads,Northhaven,TX,10832,United States,'+1-202-555-0155,https://morrowfen-moonridge-regional-collective.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2021-11-05T18:22:31Z,48,18720790.02,
001KQsenOWHB4fuQM5,Latticebrook Redwood Lakeside Partners,Former Customer,Manufacturing,647 Haley Estate,Lake Briar,TX,10382,United States,'+1-303-555-0160,https://latticebrook-redwood-lakeside-partners.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2024-08-29T10:59:44Z,160,57012857.59,001yvWhfz01vDWFY3M
001JTximtecXZZ0IK7,Sara Kathy Randolph,Prospect,Financial Services,632 Peck Stravenue,Cedar Crossing,MA,92377,United States,'+1-617-555-0121,https://kestrel-arc-stonebridge-eastern-analytics.example.invalid,Warm,Established organization focused on service reliability.,2022-10-15T19:39:36Z,12,1043703.67,
001raw2VDD9p9udA5N,Felicia Charles Weeks,Partner,Technology,2456 Williams Center,Summit Glen,TX,61709,United States,'+1-303-555-0107,https://juniper-vale-bluecrest-worldwide-industries.example.invalid,Warm,Regional organization evaluating operational improvements.,2023-01-22T11:49:21Z,3000,260266243.66,001pZZmTYW0GRFkYE7
00175Cmy8DqQrAKINI,David Michelle Lee,Former Customer,Financial Services,259 Martin Ridges,Willow Harbor,MA,41652,United States,'+1-202-555-0106,https://ivorypine-clearpath-southern-systems.example.invalid,Warm,Established organization focused on service reliability.,2022-06-11T23:25:59Z,24,4424594.39,001OLdGcwV4anrfQXZ
001LInXZfFVYqWIIEB,Michelle Kenneth Gutierrez,Former Customer,Business Services,962 Anthony Squares,Northhaven,MA,60845,United States,'+1-303-555-0120,https://harborlume-evergreen-northern-collective.example.invalid,Warm,Established organization focused on service reliability.,2025-07-27T13:50:35Z,160,17398891.38,001gQSNxeXgntf7YR3
001PuTTthcGKMiPQUX,Glimmerforge Goldenleaf Frontier Partners,Partner,Healthcare,585 Bishop Fields,Northhaven,TX,64857,United States,'+1-971-555-0133,https://glimmerforge-goldenleaf-frontier-partners.example.invalid,Warm,Established organization focused on service reliability.,2024-09-05T18:39:34Z,160,58754675.94,
001CfmgfK8c5I6aQSB,Erica Jessica Watson,Customer,Consumer Goods,473 Maria Groves,Lake Briar,CO,13382,United States,'+1-617-555-0128,https://fablecrest-ironwood-worldwide-works.example.invalid,Warm,Established organization focused on service reliability.,2025-10-11T05:00:47Z,520,185196642.06,
001i0JLXj0FG5G5YE0,Alexander Christopher Burnett,Former Customer,Transportation,19380 Robert Villages,Summit Glen,TX,15976,United States,'+1-415-555-0187,https://evertrail-keystone-southern-industries.example.invalid,Warm,Regional organization evaluating operational improvements.,2026-03-30T23:15:47Z,3000,444892305.65,
0014WYoiYbOMlUgQDX,Annette Curtis Bailey,Partner,Financial Services,54932 Wilcox Passage,Summit Glen,TX,49809,United States,'+1-415-555-0197,https://deltora-moonridge-northern-systems.example.invalid,Hot,Regional organization evaluating operational improvements.,2025-01-18T16:41:50Z,24,8280159.76,
001O8ZWUKMYoipYYQ7,Brian Crystal Powell,Prospect,Manufacturing,5933 Timothy Motorway,Willow Harbor,NC,58698,United States,'+1-415-555-0145,https://cinderquill-redwood-frontier-collective.example.invalid,Hot,Regional organization evaluating operational improvements.,2026-06-05T22:57:49Z,160,62803197.57,
001U9TwW1ZhV64GITA,Whitney Jeremy Stewart,Former Customer,Energy,713 Davis Pass,Lake Briar,CO,74413,United States,'+1-202-555-0138,https://brindlewave-stonebridge-worldwide-logistics.example.invalid,Cold,Established organization focused on service reliability.,2025-09-21T23:21:44Z,520,77242405.12,001NRMSr13PD4ICIOI
001RGWydjko0QMRY5C,Javier Shelly Cisneros,Prospect,Business Services,65676 Miller Shore,Northhaven,OR,61251,United States,'+1-971-555-0125,https://avenlo-bluecrest-summit-works.example.invalid,Cold,Established organization focused on service reliability.,2025-06-22T04:43:39Z,280,98707141.09,
001vywMtDWYqGORIQP,Steven Timothy Garcia,Former Customer,Retail,9033 Craig Bypass,Lake Briar,CO,60130,United States,'+1-617-555-0184,https://rivermark-brightwater-pacific-industries.example.invalid,Cold,Established organization focused on service reliability.,2023-06-02T19:10:30Z,3000,649273198.9,
001ZCfPCiKUOyBBA6I,Patricia Maria Nichols,Former Customer,Energy,268 Williams Key,Alder Bay,MA,92717,United States,'+1-202-555-0128,https://quarrylight-copperfield-global-systems.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2023-12-29T15:11:32Z,90,32883585.5,
001r2Zt5bJoZh5cI46,Patricia Sheila Moody,Former Customer,Healthcare,75183 Joseph Spring,Summit Glen,TX,26804,United States,'+1-202-555-0153,https://peregrine-hollow-farpoint-coastal-collective.example.invalid,Hot,Established organization focused on service reliability.,2026-03-02T07:49:02Z,3000,1016851941.86,
001QlR8r1Q5bRm4IG1,Kimberly Elizabeth Carpenter,Partner,Transportation,771 Gill Island,Willow Harbor,WA,31740,United States,'+1-713-555-0161,https://oakmere-highland-summit-logistics.example.invalid,Hot,Regional organization evaluating operational improvements.,2025-04-13T03:36:12Z,280,83647284.64,
001NlUpPvRS2wnzIYM,Richard Mitchell Smith,Customer,Retail,2287 Sabrina Plains,Northhaven,TX,55926,United States,'+1-713-555-0127,https://novacairn-juniper-pacific-works.example.invalid,Cold,Established organization focused on service reliability.,2021-05-04T04:59:43Z,1500,428004554.19,
001Mpzq9x2yVI5HAED,Daniel Timothy Alvarez,Partner,Education,0862 Samantha Pine,Willow Harbor,WA,97223,United States,'+1-202-555-0111,https://morrowfen-longview-global-industries.example.invalid,Cold,Regional organization evaluating operational improvements.,2021-01-01T08:17:36Z,280,40524261.43,
001mXlpepzxHpk4I31,Joshua Angela Morales,Customer,Retail,217 Newman Isle,Alder Bay,OR,95940,United States,'+1-713-555-0171,https://latticebrook-northstar-coastal-systems.example.invalid,Hot,Established organization focused on service reliability.,2024-10-10T08:43:34Z,160,49141960.68,
001pCWrmUg2EHGPAG8,Samantha Amy Valentine,Partner,Media,96856 Krystal Spurs,Cedar Crossing,TX,95960,United States,'+1-971-555-0113,https://kestrel-arc-silverline-summit-analytics.example.invalid,Hot,Regional organization evaluating operational improvements.,2022-06-30T09:51:28Z,1500,382928589.3,
001v16OKJFuZcV0QCS,Virginia Carl Terry,Former Customer,Financial Services,42626 Ward Course,Northhaven,TX,27239,United States,'+1-971-555-0122,https://juniper-vale-westwind-pacific-logistics.example.invalid,Cold,Regional organization evaluating operational improvements.,2023-07-17T06:03:40Z,520,150419896.91,
001F0saAL86T3h5IUF,Diana Laura Roman,Customer,Education,398 Gina Extension,Lake Briar,MA,89684,United States,'+1-617-555-0166,https://ivorypine-brightwater-lakeside-works.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2024-06-09T15:06:15Z,900,82696766.67,
001qb5RFrl2MvvDIYA,Ashley Jennifer Tate,Prospect,Consumer Goods,657 Jordan View,Summit Glen,TX,86949,United States,'+1-617-555-0123,https://harborlume-copperfield-eastern-industries.example.invalid,Cold,Regional organization evaluating operational improvements.,2022-10-30T12:20:46Z,90,25521750.19,
001vuI7W5NKUSqVAGG,Glimmerforge Farpoint Western Partners,Partner,Healthcare,167 Cynthia Garden,Lake Briar,WA,65904,United States,'+1-303-555-0198,https://glimmerforge-farpoint-western-partners.example.invalid,Cold,Regional organization evaluating operational improvements.,2025-02-03T17:24:00Z,48,10657903.08,001eE3A4cmn7G2gIHB
001OXfC2jDKfDmwYPX,Fablecrest Highland Regional Analytics,Customer,Energy,43888 Sean Lock,Northhaven,NC,80093,United States,'+1-202-555-0114,https://fablecrest-highland-regional-analytics.example.invalid,Warm,Established organization focused on service reliability.,2021-09-30T01:20:31Z,520,170460046.17,
001eRJ4GILnQbQxQA2,David David Phillips,Partner,Education,751 Williams Station,Summit Glen,NC,41867,United States,'+1-202-555-0170,https://evertrail-juniper-lakeside-logistics.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2026-04-12T06:59:57Z,12,1510170.78,
001H8DiQNUTC9JGQA0,Jennifer Thomas Gonzalez,Former Customer,Retail,334 Barbara Union,Northhaven,MA,50737,United States,'+1-617-555-0100,https://deltora-longview-eastern-works.example.invalid,Warm,Regional organization evaluating operational improvements.,2023-09-07T17:16:42Z,90,22840180.22,
001KInyPfEAkhgcQEO,Angela Joseph Richardson,Partner,Consumer Goods,41252 Barnes Dam,Lake Briar,NC,50768,United States,'+1-713-555-0119,https://cinderquill-northstar-western-collective.example.invalid,Hot,Regional organization evaluating operational improvements.,2023-01-11T21:14:56Z,12,2453839.4,
001JcZQ7uhRMVxxILW,Brindlewave Silverline Regional Partners,Partner,Financial Services,7219 Laura Forges,Cedar Crossing,MA,18596,United States,'+1-303-555-0146,https://brindlewave-silverline-regional-partners.example.invalid,Warm,Regional organization evaluating operational improvements.,2024-09-30T22:04:31Z,280,92218513.35,
001b6YbqymKD3ZDA0A,Sheryl Henry Michael,Partner,Education,340 Baker Wall,Cedar Crossing,OR,86622,United States,'+1-303-555-0173,https://avenlo-westwind-lakeside-analytics.example.invalid,Hot,Regional organization evaluating operational improvements.,2025-06-16T01:20:10Z,160,18284888.92,
001CXiPlYrfwSgoQU2,Cynthia Anthony Hughes,Prospect,Healthcare,8126 Victoria Way,Northhaven,MA,23879,United States,'+1-303-555-0113,https://rivermark-bluecrest-frontier-logistics.example.invalid,Hot,Regional organization evaluating operational improvements.,2022-02-16T04:40:44Z,520,190270251.08,001avRKkn0zGBkGQ4J
001evLCMHIsIpP4IS4,Jason Diana Barker,Prospect,Media,175 Laura Locks,Lake Briar,MA,98850,United States,'+1-303-555-0186,https://quarrylight-clearpath-worldwide-systems.example.invalid,Hot,Established organization focused on service reliability.,2023-04-11T20:50:00Z,12,3857706.38,
001GJ2vwlaXONX0IFT,Jacqueline Sandra Garcia,Former Customer,Education,1541 Beck Run,Alder Bay,WA,59494,United States,'+1-415-555-0158,https://peregrine-hollow-evergreen-southern-collective.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2021-08-04T18:32:56Z,24,3475141.99,
001pOXC8pNylRaRY5A,Oakmere Goldenleaf Northern Partners,Former Customer,Education,1361 Dakota Land,Cedar Crossing,CA,21407,United States,'+1-303-555-0125,https://oakmere-goldenleaf-northern-partners.example.invalid,Warm,Regional organization evaluating operational improvements.,2025-10-16T18:03:32Z,520,122421781.79,
0014cziPpL6YtrlIIC,Philip Michael Acevedo,Former Customer,Energy,41389 Maxwell Spurs,Willow Harbor,CO,22275,United States,'+1-303-555-0123,https://novacairn-ironwood-frontier-analytics.example.invalid,Warm,Regional organization evaluating operational improvements.,2023-05-02T11:22:23Z,280,64977803.56,
001JpXNK6wAFLxqA39,Timothy Christina Martinez,Customer,Education,658 Kathryn Trail,Lake Briar,MA,27110,United States,'+1-202-555-0106,https://morrowfen-keystone-worldwide-industries.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2023-03-09T16:39:54Z,12,4835410.45,
