Id,Name,StageName,CloseDate,Type,LeadSource,NextStep,ForecastCategoryName,CurrencyIsoCode,Description,CreatedDate,IsClosed,IsWon,Probability,Amount,AccountId,CampaignId,Pricebook2Id,SyncedQuoteId
006YGSDbGRzAnXnQUP,Fablecrest Moonridge Western Analytics - Modular Pioneer Training Vertex Aurora New Business,Closed Won,2025-04-02,Existing Customer - Upgrade,Outbound,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2024-07-16T00:04:04Z,1,1,100.0,1575333.97,001NlUpPvRS2wnzIYM,701PnzYm01TO5qEICN,01sLoYtuPuiAhJSKZN,
006s5Wcsq3nRg2iY3U,Evertrail Redwood Regional Logistics - Precision Harbor Data Platform Essential Meridian Expansion,Needs Analysis,2026-06-12,Existing Customer - Upgrade,Partner Referral,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-02-04T22:22:33Z,0,0,35.0,134183.17,0018sCn7wzuyGKcIWS,,01sf902KvuoXgXtOGX,
006jkB0rX83XBLBQ0M,Deltora Stonebridge Lakeside Works - Rapid Compass Hardware Premier Vector New Business,Value Proposition,2027-05-17,Existing Customer - Renewal,Partner Referral,Finalize terms,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-18T14:59:52Z,0,0,50.0,765708.11,0011y3R0qW4167MAMP,7014Mb0gQuVkT1cIP4,01sLoYtuPuiAhJSKZN,
0065Qxa1qeTLEEUACK,Cinderquill Bluecrest Frontier Industries - Unified Summit Data Platform Select Cascade Renewal,Closed Won,2022-07-18,Existing Customer - Renewal,Outbound,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2021-12-10T06:12:27Z,1,1,100.0,1508213.66,001JZ9Av5CClhiKIID,,01sLoYtuPuiAhJSKZN,0Q0zm9qo7s9wdYKSCU
006lIGLX4BHWuZhIDK,Brindlewave Clearpath Worldwide Partners - Adaptive Lattice Advisory Core Nova Expansion,Needs Analysis,2027-02-22,New Customer,Partner Referral,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-06-22T18:13:48Z,0,0,35.0,1183707.04,001JX719udcxa4uA9H,701qSlEpW8tT5lJI6V,01sf902KvuoXgXtOGX,0Q0hzIf0QO9xXQ90HW
520XJrk2Cut9UV0QB6,Avenlo Evergreen Southern Analytics - Dynamic Ember Cloud Service Enterprise Zenith Expansion,Needs Analysis,2027-02-06,Existing Customer - Renewal,Web,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-03-02T18:43:00Z,0,0,35.0,1592975.02,00134kztbICJD2tYCZ,,01sLoYtuPuiAhJSKZN,0Q0VOT6DEeMaocfS08
006lZoIVAKFfXeOA5D,Rivermark Farpoint Northern Logistics - Elastic Vertex Data Platform Professional Cobalt Expansion,Value Proposition,2026-05-17,Existing Customer - Renewal,Customer Referral,Finalize terms,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-02-05T16:18:49Z,0,0,50.0,980316.05,001QMRyBoOV9ydJAFR,7014xC7ldfv7uGYYZO,01sLoYtuPuiAhJSKZN,
80iq1Bh2MseHsg3YUS,Quarrylight Highland Frontier Works - Modular Orbit Training Standard Nova Expansion,Value Proposition,2026-06-05,New Customer,Organic Search,Confirm requirements,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-03-16T14:54:34Z,0,0,50.0,1514375.3,001FVBcrH6719XQAUS,,01sQ4LtuJF9K1vlMFT,0Q0TAijfr0Pe18ZCWN
006NeJlsYNuod3eAS2,Peregrine Hollow Juniper Worldwide Collective - Precision Foundry Data Platform Core Atlas Renewal,Qualification,2026-10-29,Existing Customer - Renewal,Customer Referral,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-11-07T18:43:03Z,0,0,20.0,1913267.9,001qP46mGWsPnuOQ5R,701316oqPXGTr5DIOR,01sJqGPflRJqwqCPRW,0Q0gbrPmeCCIrBXKCK
711i5BYjcggdOQJADX,Oakmere Longview Southern Partners - Rapid Beacon Data Platform Enterprise Horizon Expansion,Qualification,2026-12-19,Existing Customer - Renewal,Event,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-03-17T11:00:07Z,0,0,20.0,938020.56,001LInXZfFVYqWIIEB,701eYR0IxKvWggxING,01sJqGPflRJqwqCPRW,0Q0vJGfZRVU17GBK8G
0061qThIuslKrF7IVW,Novacairn Northstar Northern Analytics - Unified Pioneer Cloud Service Professional Pulse Expansion,Value Proposition,2026-11-15,New Customer,Web,Finalize terms,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-06-05T18:42:28Z,0,0,50.0,1047511.71,001wOS4RTezb6AxY4U,,01sf902KvuoXgXtOGX,
02tvRmJ3KgjkxLBYSA,Morrowfen Silverline Frontier Logistics - Adaptive Harbor Hardware Ultimate Atlas Expansion,Needs Analysis,2026-12-22,Existing Customer - Renewal,Organic Search,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-20T11:36:53Z,0,0,35.0,38469.99,001a3aFjkJfo7TTICC,,01sf902KvuoXgXtOGX,0Q0GxBSDKnEyjqsK9F
82tnYx1ZtV6XFuRQMB,Latticebrook Westwind Worldwide Systems - Dynamic Compass Training Edge Ion Renewal,Negotiation/Review,2027-02-04,New Customer,Web,Confirm requirements,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-11-09T11:33:34Z,0,0,75.0,739143.42,001kaydhB78AJPJIWK,,01sQ4LtuJF9K1vlMFT,0Q0RmWc2MZ1vFPgSTX
5206qpXvNKeGgGLYN7,Kestrel Arc Brightwater Summit Collective - Elastic Summit Advisory Foundation Solstice Renewal,Qualification,2027-06-02,New Customer,Organic Search,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-20T05:03:22Z,0,0,20.0,2421936.03,001j6nRokzRlCs1Y07,,01sLoYtuPuiAhJSKZN,
006Cabd2xs6t4XgQVY,Juniper Vale Copperfield Pacific Partners - Modular Lattice Advisory Scale Aurora Expansion,Qualification,2027-06-09,Existing Customer - Upgrade,Event,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-11-13T20:09:36Z,0,0,20.0,2426438.18,00134G8VQW0MQTYI8N,7013ji5fs9KRMNZIMZ,01sLoYtuPuiAhJSKZN,0Q0HNUvcSID21N4KW8
7112i1Hr50yHeraQMN,Ivorypine Farpoint Global Analytics - Precision Ember Hardware Ultimate Ion Renewal,Closed Lost,2022-09-18,Existing Customer - Upgrade,Organic Search,Schedule review,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2022-07-09T00:33:57Z,1,0,0.0,1194850.89,001AZHmNsDfQdrZQQD,701fmMnRrUO2XdcI3Y,01sQ4LtuJF9K1vlMFT,0Q0vrlPFFWEc6vqKU0
816OkDXbVyllg8hYUU,Harborlume Highland Coastal Logistics - Quantum Vertex Cloud Service Edge Vector Expansion,Closed Lost,2025-09-15,New Customer,Partner Referral,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2024-10-04T19:59:51Z,1,0,0.0,213098.33,001OH94vlTF3MI8Y08,,01sQ4LtuJF9K1vlMFT,
0204HF7wVTuoVneYOB,Glimmerforge Juniper Summit Systems - Unified Orbit Data Platform Foundation Cascade New Business,Value Proposition,2027-05-31,Existing Customer - Upgrade,Event,Confirm requirements,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-10-29T04:51:43Z,0,0,50.0,1896290.08,001aJFstC9yWgafQNG,701dvFZxXgmRnlIQM7,01sf902KvuoXgXtOGX,0Q0hATM9BhDPJMICVA
006NP7nicN4ZuyJIAI,Fablecrest Longview Pacific Collective - Adaptive Foundry Hardware Select Meridian Renewal,Qualification,2026-06-15,New Customer,Partner Referral,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-11-28T05:07:34Z,0,0,20.0,2448895.61,0016bs349lxRsmUQ0V,,01sQ4LtuJF9K1vlMFT,
006lj43LWcVxgCsY4L,Evertrail Northstar Global Partners - Dynamic Beacon Hardware Vertex Vector Renewal,Closed Won,2025-02-21,Existing Customer - Renewal,Event,Finalize terms,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-01-05T21:47:50Z,1,1,100.0,1305200.93,001FHyBhLc8CzxgIVO,,01sLoYtuPuiAhJSKZN,
52tXAevScYksrsQQ5B,Deltora Silverline Coastal Analytics - Elastic Pioneer Advisory Essential Cobalt Expansion,Value Proposition,2027-03-23,New Customer,Outbound,Prepare proposal,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-11-25T18:09:26Z,0,0,50.0,1038660.62,001Ql5gfswhLAUiIZH,7010j7HiIFs5acMAA2,01sLoYtuPuiAhJSKZN,
816mvBBvLAo5nuTQ8Q,Cinderquill Westwind Summit Industries - Modular Harbor Advisory Premier Nova New Business,Closed Won,2023-04-14,Existing Customer - Renewal,Web,Prepare proposal,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2022-12-02T05:03:28Z,1,1,100.0,841258.86,001cnLEQk5pZMibQH2,,01sLoYtuPuiAhJSKZN,
52629MYorTUtV6CYEY,Brindlewave Brightwater Regional Systems - Precision Compass Hardware Select Zenith Renewal,Needs Analysis,2026-05-09,New Customer,Organic Search,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-03-02T17:47:27Z,0,0,35.0,482508.28,001gcyiBi1aOx6uAJ7,,01sf902KvuoXgXtOGX,
701NSbF00SUzh9SINY,Avenlo Copperfield Lakeside Collective - Quantum Summit Data Platform Vertex Cobalt Renewal,Needs Analysis,2026-05-28,Existing Customer - Upgrade,Partner Referral,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-02T10:07:53Z,0,0,35.0,2062828.8,001R0OuIWPEowdMYT2,,01sQ4LtuJF9K1vlMFT,
006MpWBGoNhmLKWYMH,Rivermark Evergreen Eastern Partners - Unified Lattice Support Essential Pulse Renewal,Closed Lost,2024-12-19,Existing Customer - Renewal,Event,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2024-08-16T12:49:58Z,1,0,0.0,1047855.52,001BAfwqbwr0TsUA0T,,01sLoYtuPuiAhJSKZN,0Q0tSOX5727ITrRS9A
006him88BidBWvgAE5,Quarrylight Goldenleaf Western Works - Adaptive Ember Training Professional Atlas Expansion,Closed Lost,2023-06-03,New Customer,Web,Schedule review,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2023-02-25T16:59:41Z,1,0,0.0,1471437.15,001N2mO6ogfdaXBYDK,,01sLoYtuPuiAhJSKZN,
006KLFzhTTzXvGNARK,Peregrine Hollow Ironwood Regional Industries - Connected Vertex Cloud Service Standard Horizon New Business,Negotiation/Review,2027-04-24,New Customer,Event,Prepare proposal,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-11-29T10:31:17Z,0,0,75.0,240530.23,001CobSEZTi3dLCAGD,701zPCT7q7BesAmYT9,01sQ4LtuJF9K1vlMFT,
00637kOJWWqJdXyIJE,Oakmere Keystone Lakeside Systems - Elastic Orbit Hardware Core Solstice New Business,Prospecting,2027-06-26,Existing Customer - Upgrade,Web,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-02-07T13:56:32Z,0,0,10.0,76161.31,001gQSNxeXgntf7YR3,701PnzYm01TO5qEICN,01sf902KvuoXgXtOGX,
006M94a2REWmCy0I1A,Novacairn Moonridge Eastern Collective - Modular Foundry Hardware Enterprise Aurora Expansion,Negotiation/Review,2026-09-29,Existing Customer - Renewal,Event,Confirm requirements,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-03-13T16:46:47Z,0,0,75.0,638124.87,001ue1J9V7XEwHtA5N,701dvFZxXgmRnlIQM7,01sQ4LtuJF9K1vlMFT,0Q0OoDzgp1xtWvx0K6
526DSTzK3o2GZhtAD3,Morrowfen Redwood Western Logistics - Precision Beacon Training Professional Ion New Business,Qualification,2026-10-06,Existing Customer - Renewal,Outbound,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-02-13T12:58:19Z,0,0,20.0,487269.25,001Pv3IESUoMrhiAAG,,01sJqGPflRJqwqCPRW,
720ny8nFJHudrPnARO,Latticebrook Stonebridge Regional Works - Quantum Pioneer Cloud Service Standard Solstice Renewal,Closed Lost,2023-01-09,Existing Customer - Upgrade,Organic Search,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2022-01-16T20:19:06Z,1,0,0.0,1485622.51,001yvWhfz01vDWFY3M,,01sLoYtuPuiAhJSKZN,
711igRXfJ6BhQOgAQ0,Kestrel Arc Bluecrest Northern Industries - Unified Harbor Hardware Core Cascade Expansion,Negotiation/Review,2026-09-04,Existing Customer - Upgrade,Partner Referral,Finalize terms,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-03-13T19:59:24Z,0,0,75.0,1483338.01,001Oil2EokU3tWpID9,701C5GBKeBniO3YY7J,01sLoYtuPuiAhJSKZN,
006W5QzGEBHphMsQSX,Juniper Vale Clearpath Frontier Systems - Adaptive Compass Hardware Foundation Meridian Expansion,Qualification,2027-07-01,Existing Customer - Renewal,Partner Referral,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-10-23T09:18:52Z,0,0,20.0,1545921.07,001zOsseTV2G23QAKL,,01sQ4LtuJF9K1vlMFT,0Q0N6oYw6rm5TzGCMX
80iYCIChrIJKE2ZIAR,Ivorypine Evergreen Worldwide Analytics - Connected Summit Data Platform Scale Vector Renewal,Value Proposition,2027-04-24,Existing Customer - Renewal,Customer Referral,Schedule review,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-12T19:02:47Z,0,0,50.0,1632577.72,001F0saAL86T3h5IUF,,01sLoYtuPuiAhJSKZN,0Q0e3whkFbwnD130MR
01t6KOBy3HBszRYIB8,Harborlume Goldenleaf Southern Logistics - Elastic Lattice Hardware Ultimate Cascade Expansion,Value Proposition,2027-05-30,New Customer,Customer Referral,Finalize terms,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-09-14T13:12:43Z,0,0,50.0,2170197.93,001CWFhyR8QJd16AFG,,01sQ4LtuJF9K1vlMFT,
006xQi6si2wAxTTQRH,Glimmerforge Ironwood Northern Works - Modular Ember Data Platform Edge Nova Expansion,Closed Lost,2024-09-21,Existing Customer - Upgrade,Event,Schedule review,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2023-12-21T10:15:32Z,1,0,0.0,64263.24,001RiZCg1UERbAvQWO,701BP1P0a1hwEg9QVB,01sf902KvuoXgXtOGX,0Q03r2SFx60KrJVSX8
021eKdhMYbzXcloIFK,Fablecrest Keystone Frontier Industries - Open Vertex Support Foundation Zenith New Business,Negotiation/Review,2026-08-12,New Customer,Outbound,Finalize terms,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-02-09T03:39:54Z,0,0,75.0,482527.15,001aJFstC9yWgafQNG,7017jaJGBUyVDFxICV,01sf902KvuoXgXtOGX,
7109fVIumfYROxoYBY,Evertrail Moonridge Worldwide Partners - Quantum Orbit Support Scale Cobalt Expansion,Needs Analysis,2027-02-04,Existing Customer - Renewal,Web,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-09-13T11:00:04Z,0,0,35.0,618635.53,001BJaRoad36sorI41,7014Mb0gQuVkT1cIP4,01sLoYtuPuiAhJSKZN,0Q0ulUA9WgoXVNkCEJ
006u0pkDXbsoW04Y5Q,Deltora Redwood Southern Analytics - Unified Foundry Hardware Ultimate Nova Expansion,Closed Won,2025-06-19,New Customer,Outbound,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-05-10T23:25:02Z,1,1,100.0,2232410.79,001j6nRokzRlCs1Y07,,01sQ4LtuJF9K1vlMFT,0Q0QWgnFMhe9OJE0DY
006aMy7xqM18jiyILB,Cinderquill Stonebridge Northern Logistics - Adaptive Beacon Cloud Service Essential Atlas Renewal,Needs Analysis,2026-11-06,New Customer,Organic Search,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-10-14T00:31:31Z,0,0,35.0,2041873.25,001Pv3IESUoMrhiAAG,,01sLoYtuPuiAhJSKZN,
826G52r1iX8Nnp4QKI,Brindlewave Bluecrest Global Works - Connected Pioneer Data Platform Premier Horizon New Business,Negotiation/Review,2026-05-30,Existing Customer - Upgrade,Organic Search,Schedule review,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-02-02T15:25:33Z,0,0,75.0,380384.14,001Y7WfxpecwwzUQ8R,,01sLoYtuPuiAhJSKZN,
006ogjCc9l3TpyyQ43,Avenlo Clearpath Coastal Industries - Elastic Harbor Cloud Service Select Pulse Renewal,Needs Analysis,2026-05-10,Existing Customer - Renewal,Web,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-10-03T02:05:03Z,0,0,35.0,1923370.56,001jIiXAhBEHXIPYQP,701VENsf4RdiXcPYUH,01sLoYtuPuiAhJSKZN,
006QLmXIFixvAu5AMB,Rivermark Copperfield Summit Partners - Modular Compass Support Vertex Atlas Expansion,Negotiation/Review,2026-08-28,Existing Customer - Upgrade,Organic Search,Confirm requirements,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-17T15:46:39Z,0,0,75.0,2314553.96,00175Cmy8DqQrAKINI,,01sLoYtuPuiAhJSKZN,
006shRlqZmnnyfUYE0,Quarrylight Farpoint Pacific Analytics - Open Summit Training Essential Ion Renewal,Prospecting,2026-06-16,Existing Customer - Renewal,Partner Referral,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-04-25T16:58:00Z,0,0,10.0,1875109.97,001H2ifRi7MnAnLIKL,,01sf902KvuoXgXtOGX,
006QJIXxGyVD2r0AHP,Peregrine Hollow Highland Global Logistics - Quantum Lattice Advisory Premier Solstice Renewal,Negotiation/Review,2026-06-01,New Customer,Organic Search,Confirm requirements,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-18T21:46:23Z,0,0,75.0,2292839.08,00195IoHhooLntmYBW,,01sLoYtuPuiAhJSKZN,
0069DzgJkCYuxnZQ6R,Oakmere Juniper Coastal Works - Unified Ember Cloud Service Select Aurora Renewal,Negotiation/Review,2027-04-16,Existing Customer - Renewal,Partner Referral,Confirm requirements,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-12-31T07:28:20Z,0,0,75.0,1686801.24,001oPLQgL6DtzXuQJ9,,01sf902KvuoXgXtOGX,
006MxZA0ciM6u3FIK9,Novacairn Longview Summit Collective - Virtual Vertex Data Platform Vertex Ion Expansion,Closed Lost,2024-05-09,Existing Customer - Renewal,Event,Schedule review,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2023-07-25T00:14:50Z,1,0,0.0,1994694.55,001gcyiBi1aOx6uAJ7,,01sf902KvuoXgXtOGX,
511eM2lrl9Ozn6fAVQ,Morrowfen Northstar Pacific Partners - Connected Orbit Cloud Service Enterprise Vector Renewal,Qualification,2027-06-20,Existing Customer - Upgrade,Partner Referral,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2027-01-26T00:36:56Z,0,0,20.0,459166.59,001oowXHzEaXod1YS1,,01sLoYtuPuiAhJSKZN,
006EtRoI6GdsomhQGU,Latticebrook Silverline Global Analytics - Elastic Foundry Advisory Professional Cascade New Business,Qualification,2026-06-15,Existing Customer - Upgrade,Outbound,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-10-31T01:13:00Z,0,0,20.0,2076273.81,001QlR8r1Q5bRm4IG1,,01sLoYtuPuiAhJSKZN,0Q05WxYJHMxyl0MKSI
0068BP6NxX5OGuRQAS,Kestrel Arc Westwind Coastal Logistics - Modular Beacon Hardware Standard Meridian Expansion,Negotiation/Review,2026-06-09,Existing Customer - Upgrade,Outbound,Prepare proposal,Commit,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-09-09T15:35:46Z,0,0,75.0,908083.69,001PUaO8FLbQ5tuY7R,701sbAyLwajaBknIUK,01sLoYtuPuiAhJSKZN,
006jXupHEEjjTNyQJK,Juniper Vale Brightwater Western Systems - Open Pioneer Data Platform Core Zenith Renewal,Qualification,2027-02-11,Existing Customer - Upgrade,Organic Search,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-05-11T20:15:18Z,0,0,20.0,1146005.62,001b1XyoVMftFmnY3Z,,01sf902KvuoXgXtOGX,0Q0LiSknugQeJpHKIV
00i6MIAyfWb51IPI7H,Ivorypine Copperfield Regional Collective - Quantum Harbor Data Platform Enterprise Cobalt Renewal,Value Proposition,2026-08-28,Existing Customer - Renewal,Organic Search,Prepare proposal,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-09-10T03:59:11Z,0,0,50.0,375403.62,001iIp10CH2rdjrQCH,701316oqPXGTr5DIOR,01sLoYtuPuiAhJSKZN,
006tqZWnOum7PAJYX6,Harborlume Farpoint Lakeside Partners - Unified Compass Hardware Professional Nova New Business,Closed Lost,2025-07-18,Existing Customer - Upgrade,Customer Referral,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2024-09-13T10:15:13Z,1,0,0.0,542675.74,001E8sva5lyIcGMIKX,701HZkqvaYkvEU4AAJ,01sf902KvuoXgXtOGX,0Q0epgLQ8J3kG2XSQB
006jUzASlsTXfepI65,Glimmerforge Highland Eastern Analytics - Virtual Summit Advisory Standard Zenith Expansion,Closed Won,2026-03-03,Existing Customer - Renewal,Organic Search,Confirm requirements,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-17T15:33:59Z,1,1,100.0,2108017.27,001eMGa7Y6CNd3wIQE,,01sf902KvuoXgXtOGX,
006KHnkfpxHJjhvA9C,Fablecrest Juniper Western Industries - Connected Lattice Data Platform Edge Horizon Renewal,Qualification,2027-04-07,New Customer,Partner Referral,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-01-31T09:50:10Z,0,0,20.0,1967129.59,0018haifivYezP7QUH,,01sf902KvuoXgXtOGX,0Q0DOaHsink8nRmKJT
006cRnOVinK8gXHA0R,Evertrail Longview Regional Systems - Elastic Ember Cloud Service Foundation Pulse Expansion,Needs Analysis,2027-07-01,Existing Customer - Upgrade,Outbound,Prepare proposal,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-10-27T05:35:56Z,0,0,35.0,60127.15,001MetGBUEn7phAIPH,701AUDOzK5kG0AQQW3,01sQ4LtuJF9K1vlMFT,
006I9L295zXfyQJIBG,Deltora Northstar Lakeside Collective - Integrated Vertex Advisory Scale Atlas Expansion,Prospecting,2026-06-06,Existing Customer - Renewal,Event,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-04-02T05:07:28Z,0,0,10.0,723815.8,001IqN1uANorRv0AGO,701PvobyJwhiNxZY1C,01sQ4LtuJF9K1vlMFT,0Q0uH7lPSjWBPttC3P
